snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId,readcode_review,include
101421000119107#,Dementia due to Parkinson's disease,2968235019#,1,0,1,8031761000006117#,Dementia due to Parkinsons disease,^ESCTDE803176,NA,2987130014,NA,31,NA,1
101421000119107#,Dementia due to Parkinson's disease,2968235019#,1,0,1,8031751000006119#,Dementia due to Parkinson's disease,^ESCTDE803175,NA,2968235019,NA,31,NA,1
101421000119107#,Dementia due to Parkinson's disease,2968235019#,1,0,1,8031771000006112#,Dementia due to Parkinson disease,^ESCTDE803177,NA,2987358012,NA,31,NA,1
101421000119107#,Dementia due to Parkinsons disease,2987130014#,1,0,1,8031761000006117#,Dementia due to Parkinsons disease,^ESCTDE803176,NA,2987130014,NA,31,NA,1
101421000119107#,Dementia due to Parkinsons disease,2987130014#,1,0,1,8031751000006119#,Dementia due to Parkinson's disease,^ESCTDE803175,NA,2968235019,NA,31,NA,1
101421000119107#,Dementia due to Parkinsons disease,2987130014#,1,0,1,8031771000006112#,Dementia due to Parkinson disease,^ESCTDE803177,NA,2987358012,NA,31,NA,1
101421000119107#,Dementia due to Parkinson disease,2987358012#,1,0,1,8031761000006117#,Dementia due to Parkinsons disease,^ESCTDE803176,NA,2987130014,NA,31,NA,1
101421000119107#,Dementia due to Parkinson disease,2987358012#,1,0,1,8031751000006119#,Dementia due to Parkinson's disease,^ESCTDE803175,NA,2968235019,NA,31,NA,1
101421000119107#,Dementia due to Parkinson disease,2987358012#,1,0,1,8031771000006112#,Dementia due to Parkinson disease,^ESCTDE803177,NA,2987358012,NA,31,NA,1
101421000119107#,Dementia due to Parkinson's disease (disorder),811291000119119#,1,0,1,8031761000006117#,Dementia due to Parkinsons disease,^ESCTDE803176,NA,2987130014,NA,31,NA,1
101421000119107#,Dementia due to Parkinson's disease (disorder),811291000119119#,1,0,1,8031751000006119#,Dementia due to Parkinson's disease,^ESCTDE803175,NA,2968235019,NA,31,NA,1
