medcodeid	ReadCode	SNOMEDCTCodes	OriginalReadCode	CleansedReadCode	term_medcode	category
6720781000006110	NA	405949009	^ESCTNU672078	NA	Nuchal rigidity due to subarachnoid haemorrhage	haemorrhagic
6720791000006113	NA	405949009	^ESCTNU672079	NA	Nuchal rigidity due to subarachnoid hemorrhage	haemorrhagic
2583451000006111	NA	5251007	^ESCTSU258345	NA	Subarachnoid hemorrhage following injury with open intracranial wound	haemorrhagic
3284981000006111	NA	48518008	^ESCTSU328498	NA	Subarachnoid haemorrhage following injury with open intracranial wound AND concussion	haemorrhagic
3284991000006114	NA	48518008	^ESCTSU328499	NA	Subarachnoid hemorrhage following injury with open intracranial wound AND concussion	haemorrhagic
3727871000006112	NA	75507000	^ESCTSU372787	NA	Subarachnoid haemorrhage following injury with open intracranial wound AND loss of consciousness	haemorrhagic
3727881000006110	NA	75507000	^ESCTSU372788	NA	Subarachnoid hemorrhage following injury with open intracranial wound AND loss of consciousness	haemorrhagic
4854121000006110	NA	209940000	^ESCTSU485412	NA	Subarachnoid hemorrhage following injury with open intracranial wound, with no loss of consciousness	haemorrhagic
5011871000006119	NA	230739000	^ESCTSP501187	NA	Spinal cord stroke	ischaemic
5455841000006112	NA	262692002	^ESCTBU545584	NA	Burst lobe of brain	haemorrhagic
5866391000006119	NA	299403002	^ESCTST586639	NA	Stroke test positive	ischaemic
7834611000006115	NA	722632006	^ESCTTR783461	NA	Traumatic haemorrhage of brainstem	haemorrhagic
7834641000006116	NA	722632006	^ESCTHA783464	NA	Haemorrhage of brainstem due to traumatic injury	haemorrhagic
8024261000006112	NA	80051000119107	^ESCTST802426	NA	Stroke care management	ischaemic
8265471000006116	NA	817701000000103	^ESCTAC826547	NA	Acute stroke care	ischaemic
1842021000006111	NA	261808007	EMISNQNE46	NA	Neonatal cerebral haemorrhage	haemorrhagic
3119361000006118	NA	38453000	^ESCTCE311936	NA	Cerebral hemorrhage due to intrapartum anoxia or hypoxia	haemorrhagic
316153011	Q2007	206196005	Q2007	Q200700	Cerebral haemorrhage due to birth injury	haemorrhagic
316516014	Q4113	206398001	Q4113	Q411300	Intraventricular haemorrhage due to birth injury	haemorrhagic
359985011	Q2000	240313004	Q2000-1	Q200011	Intracerebral haemorrhage in foetus or newborn	haemorrhagic
3648481000006115	NA	70611002	^ESCTPE364848	NA	Perinatal intraventricular hemorrhage	haemorrhagic
3648491000006117	NA	70611002	^ESCTIN364849	NA	Intraventricular hemorrhage from any perinatal cause	haemorrhagic
3648501000006113	NA	70611002	^ESCTNE364850	NA	Neonatal intraventricular hemorrhage	haemorrhagic
3648511000006111	NA	70611002	^ESCTIN364851	NA	Intraventricular haemorrhage from any perinatal cause	haemorrhagic
3648521000006115	NA	70611002	^ESCTNE364852	NA	Neonatal intraventricular haemorrhage	haemorrhagic
404771000006118	Qyu20	206196005	Qyu20	Qyu2000	[X]Other intracranial lacerations and haemorrhages due to birth injury	haemorrhagic
